name1,name2,name3,name4,name5,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Insulin-Like Growth Factor I (aapp),7.16e-08,196.99,59,8,0,9.08,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,KLK3 gene|KLK3 (aapp),1.4e-17,237.8,59,12,0,14.44,1.0
Vitamin D Deficiency (dsyn),PROCESS_OF,cohort (popg),USES,Gleason grading system for prostatic cancer (clas),1.79e-22,268.49,59,14,0,17.32,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Single Nucleotide Polymorphism (nusq),1.88e-08,9.56,12,30,0,16.8,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Prostate-Specific Antigen (aapp),1.88e-08,89.33,12,45,0,15.2,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,FLVCR1 (gngm),1.88e-08,87.01,12,14,0,22.29,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,ERG gene|ERG (aapp),1.88e-08,98.51,12,8,0,13.33,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),USES,Tissue Microarray (resd),1.61e-06,19.07,12,7,0,11.08,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,Insulin-Like Growth Factor I (aapp),9.04e-08,20.88,12,8,0,13.33,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),LOCATION_OF,KLK3 gene|KLK3 (aapp),1.88e-08,61.68,12,12,0,24.0,1.0
Multiple Sclerosis (dsyn),PROCESS_OF,cohort (popg),USES,Gleason grading system for prostatic cancer (clas),1.88e-08,92.38,12,14,0,22.29,1.0
Entire lumbar spine (blor),LOCATION_OF,Neck (blor),LOCATION_OF,Prostate (bpoc),8.07e-14,77.08,11,12,0,21.08,2.0
Entire lumbar spine (blor),LOCATION_OF,Neck (blor),LOCATION_OF,"Preservation, Biological (lbpr)",8.07e-14,54.49,11,63,0,12.92,2.0
Entire lumbar spine (blor),LOCATION_OF,Neck (blor),LOCATION_OF,Malignant neoplasm of prostate (neop),2.68e-09,105.78,11,6,0,9.27,2.0
Entire lumbar spine (blor),LOCATION_OF,Neck (blor),LOCATION_OF,Bladder stenosis (anab),8.07e-14,46.42,11,17,0,18.12,2.0
Entire lumbar spine (blor),LOCATION_OF,Neck (blor),LOCATION_OF,Surgical margins (bpoc),8.07e-14,79.47,11,12,0,21.08,2.0
Vitamin D (phsu),PREDISPOSES,Metabolic syndrome (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),2.46e-15,259.19,8,16,0,12.0,21.0
Vitamin D (phsu),PREDISPOSES,Metabolic syndrome (dsyn),COEXISTS_WITH,Malignant neoplasm of prostate (neop),6.2e-11,266.09,8,7,0,13.12,9.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.33e-23,250.71,30,15,0,22.5,8.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,174.21,30,41,0,51.95,3.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,174.0,30,1,0,1.03,3.0
Vitamin D (phsu),INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),2.19e-37,262.23,30,23,0,40.63,10.0
Vitamin D3 Receptor (gngm),PART_OF,Hepatic (blor),LOCATION_OF,Medical Imaging (diap),2.24e-10,110.99,6,126,0,6.29,2.0
Rickets (dsyn),PROCESS_OF,African American (popg),ISA,Ethnic group (popg),6.81e-09,147.13,14,23,0,22.52,1.0
Rickets (dsyn),PROCESS_OF,African American (popg),ISA,Racial group (popg),5.99e-26,148.36,14,78,0,16.51,1.0
PTH gene|PTH (gngm),COEXISTS_WITH,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),4.5e-15,252.02,8,35,0,9.83,8.0
PTH gene|PTH (gngm),COEXISTS_WITH,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),4.5e-15,243.05,8,28,0,10.29,4.0
Calcium (bacs),STIMULATES,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.29e-30,261.74,16,35,0,23.31,8.0
Calcium (bacs),STIMULATES,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.29e-30,252.76,16,28,0,25.14,4.0
FGF23 (gngm),COEXISTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),8.29e-10,308.63,5,15,0,6.67,8.0
FGF23 (gngm),COEXISTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.45e-06,232.13,5,41,0,5.61,3.0
FGF23 (gngm),COEXISTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.92e-07,231.92,5,1,0,1.2,3.0
FGF23 (gngm),COEXISTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),8.29e-10,320.14,5,23,0,6.09,9.0
Age (orga),ASSOCIATED_WITH,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),6.76e-13,236.37,7,10,0,11.9,8.0
long-term care (hlca),USES,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.29e-30,261.74,16,35,0,23.31,6.0
long-term care (hlca),USES,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.29e-30,252.76,16,28,0,25.14,4.0
paricalcitol (orch),compared_with,Calcitriol (horm),ISA,Dihydroxycholecalciferols (phsu),2.35e-07,138.31,32,9,0,11.53,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,high-risk group (popg),2.19e-09,137.91,6,19,0,7.89,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),OCCURS_IN,Participant (humn),4.71e-06,135.5,6,4,0,6.67,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,"Rats, Sprague-Dawley (mamm)",2.77e-06,153.92,6,4,0,6.67,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Aggressive behavior (mobd),2.2e-09,143.69,6,8,0,10.5,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Aggressive behavior (mobd),4.87e-09,140.76,6,6,0,12.0,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Adenocarcinoma (neop),2.19e-09,138.57,6,10,0,9.6,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Chronic inflammation (patf),2.19e-09,144.71,6,9,0,10.0,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Elderly man (aggp),3.7e-09,153.92,6,6,0,12.0,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PART_OF,Uterus (bpoc),4.87e-09,140.76,6,6,0,12.0,3.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Diabetes Mellitus (dsyn),2.19e-09,147.34,6,13,0,8.77,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Disease Progression (patf),2.19e-09,147.34,6,13,0,8.77,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Population Group (popg),2.19e-09,188.47,6,33,0,7.09,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PART_OF,Prostate (bpoc),2.19e-09,144.07,6,50,0,6.72,3.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Benign prostatic hypertrophy (neop),2.19e-09,142.97,6,37,0,6.97,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Surgical Patients (podg),4.87e-09,140.76,6,6,0,12.0,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Prostatic Diseases (dsyn),2.19e-09,146.66,6,35,0,7.03,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Veterans (popg),2.19e-09,135.51,6,32,0,7.12,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,organ donor (popg),4.71e-06,135.5,6,4,0,6.67,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Secondary malignant neoplasm of bone (neop),2.19e-09,153.92,6,10,0,9.6,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Cell Cycle (celf),2.26e-09,142.41,6,7,0,11.14,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PRODUCES,parathyroid hormone-related protein (aapp),2.23e-09,153.92,6,7,0,11.14,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Couples (humn),4.87e-09,140.76,6,6,0,12.0,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PRODUCES,Androgens (horm),2.19e-09,139.75,6,11,0,9.27,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Cell Death (celf),2.77e-06,153.92,6,4,0,6.67,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,father (humn),2.19e-09,131.35,6,40,0,6.9,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,"Mice, Transgenic (mamm)",2.19e-09,136.87,6,22,0,7.64,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Tumorigenesis (neop),2.19e-09,141.64,6,13,0,8.77,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Population at Risk (popg),2.19e-09,146.25,6,11,0,9.27,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Clinicians (humn),4.71e-06,135.5,6,4,0,6.67,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Pathogenesis (patf),2.19e-09,147.51,6,40,0,6.9,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,member (popg),2.19e-09,153.92,6,14,0,8.57,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Prostate cancer metastatic (neop),2.77e-06,153.92,6,4,0,6.67,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,cohort (popg),4.87e-09,140.76,6,6,0,12.0,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Electromagnetic Energy (npop),1.16e-07,138.57,6,5,0,9.17,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PRODUCES,Androgen Receptor|AR (aapp),4.87e-09,140.76,6,6,0,12.0,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Ethnic group (popg),2.19e-09,146.66,6,35,0,7.03,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,"Transcription, Genetic (genf)",3.7e-09,153.92,6,6,0,12.0,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Neoplasm progression (neop),2.19e-09,139.19,6,21,0,7.71,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,African race (popg),2.19e-09,136.22,6,21,0,7.71,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Homosexuals (popg),9.62e-09,123.22,6,6,0,12.0,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PART_OF,Breast (bpoc),2.19e-09,146.25,6,11,0,9.27,3.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Xenograft Model (emod),2.19e-09,140.34,6,138,0,6.26,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Solid tumor (neop),2.19e-09,148.34,6,77,0,6.47,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Carcinogenesis (neop),2.19e-09,149.92,6,22,0,7.64,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Germ-Line Mutation (genf),2.19e-09,153.92,6,8,0,10.5,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Asians (popg),2.19e-09,137.08,6,58,0,6.62,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,"Recipient, Transplant (podg)",2.19e-09,137.68,6,28,0,7.29,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Prostatic Neoplasms (neop),2.19e-09,153.92,6,10,0,9.6,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Males (popg),2.19e-09,174.86,6,27,0,7.33,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Cancer of Urinary Tract (neop),2.2e-09,143.69,6,8,0,10.5,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Urologist (humn),2.19e-09,145.55,6,20,0,7.8,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PART_OF,Solid organ (bpoc),1.16e-07,138.57,6,5,0,9.17,3.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,cohort (popg),2.19e-09,144.68,6,351,0,6.1,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Donor person (humn),2.23e-09,153.92,6,7,0,11.14,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Oxidative Stress (comd),3.7e-09,153.92,6,6,0,12.0,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,General Population (popg),2.19e-09,144.25,6,51,0,6.71,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Black African (popg),1.93e-07,127.61,6,5,0,9.17,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Koreans (ethnic group) (popg),6.71e-08,153.92,6,5,0,9.17,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,network (popg),2.19e-09,139.75,6,11,0,9.27,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,High-Risk Cancer (neop),2.23e-09,153.92,6,7,0,11.14,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Couples (humn),2.19e-09,140.77,6,18,0,8.0,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Malignant neoplasm of kidney (neop),3.62e-08,176.94,6,5,0,9.17,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Caucasoid Race (popg),2.19e-09,140.1,6,124,0,6.29,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Malignant disease (dsyn),2.19e-09,148.35,6,31,0,7.16,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,gene polymorphism (genf),2.19e-09,150.24,6,24,0,7.5,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,"Mice, Nude (mamm)",2.19e-09,136.89,6,66,0,6.55,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Racial group (popg),2.19e-09,147.79,5,27,1,5.93,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Transgenic Model (emod),2.19e-09,146.52,6,57,0,6.63,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Hospital specialist (humn),2.19e-09,132.0,6,16,0,8.25,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Modulus (invt),2.19e-09,149.08,6,18,0,8.0,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,African American (popg),2.19e-09,140.58,5,169,1,5.15,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Health Personnel (humn),2.19e-09,134.19,6,11,0,9.27,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,High Risk Populations (popg),2.19e-09,149.54,6,20,0,7.8,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Control Groups (humn),2.19e-09,142.42,6,28,0,7.29,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Tumorigenesis (neop),2.19e-09,153.92,6,8,0,10.5,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,cohort (popg),2.19e-09,141.4,6,76,0,6.47,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Participant (humn),2.19e-09,146.81,6,95,0,6.38,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Brothers (humn),2.19e-09,124.33,6,38,0,6.95,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Neoplasm Metastasis (neop),2.19e-09,144.4,6,26,0,7.38,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PART_OF,Lobe (bpoc),2.77e-06,153.92,6,4,0,6.67,3.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,tumor growth (neop),2.19e-09,147.78,6,14,0,8.57,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),OCCURS_IN,cohort (popg),2.19e-09,153.93,6,20,0,7.8,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PRODUCES,Testosterone (strd),6.71e-08,153.92,6,5,0,9.17,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Metabolic syndrome (dsyn),2.19e-09,116.0,6,10,0,9.6,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Gene Expression (genf),6.71e-08,153.92,6,5,0,9.17,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Physicians (humn),2.19e-09,145.55,6,20,0,7.8,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Prostatic Neoplasms (neop),2.19e-09,146.84,6,12,0,9.0,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),COEXISTS_WITH,Advanced cancer (neop),2.77e-06,153.92,6,4,0,6.67,8.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),ISA,Urologic Diseases (dsyn),2.19e-09,153.92,6,14,0,8.57,5.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,spouse (humn),4.71e-06,135.5,6,4,0,6.67,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),AFFECTS,Disease Progression (patf),2.19e-09,148.17,6,15,0,8.4,7.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Survivors (podg),2.19e-09,117.37,6,430,0,6.08,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,Long-Term Survivors (podg),2.19e-09,113.0,6,20,0,7.8,1.0
Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),PROCESS_OF,"Mice, Inbred C57BL (mamm)",4.87e-09,140.76,6,6,0,12.0,1.0
Vitamin D (phsu),CAUSES,Toxic effect (inpo),PROCESS_OF,cohort (popg),1.59e-09,192.98,5,30,0,5.83,1.0
Vitamin D (phsu),CAUSES,Toxic effect (inpo),COEXISTS_WITH,Hormone-refractory prostate cancer (neop),1.59e-09,277.59,5,8,0,8.12,9.0
Vitamin D (phsu),CAUSES,Toxic effect (inpo),COEXISTS_WITH,Prostate cancer metastatic (neop),1.69e-09,257.13,5,7,0,8.57,9.0
Vitamin D (phsu),CAUSES,Toxic effect (inpo),COEXISTS_WITH,Malignant neoplasm of prostate (neop),1.59e-09,274.08,5,50,0,5.5,9.0
Vitamin D (phsu),COEXISTS_WITH,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),3.27e-22,266.14,28,14,0,21.0,8.0
Vitamin D (phsu),COEXISTS_WITH,Vitamin D3 Receptor (gngm),PREDISPOSES,Malignant neoplasm of prostate (neop),1.47e-20,265.37,28,13,0,19.04,9.0
Vitamin D (phsu),COEXISTS_WITH,Vitamin D3 Receptor (gngm),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.5e-09,277.65,28,6,0,7.29,8.0
Intervention regimes (hlca),USES,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),4.91e-57,248.67,67,35,0,53.28,6.0
Intervention regimes (hlca),USES,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.36e-44,239.69,67,28,0,39.7,4.0
Breast Cancer Cell (cell),LOCATION_OF,Calcitriol (horm),ISA,Dihydroxycholecalciferols (phsu),2.35e-07,179.28,11,9,0,16.36,2.0
Vitamin D (phsu),TREATS,Bone Diseases (dsyn),COEXISTS_WITH,Malignant neoplasm of prostate (neop),4.56e-09,236.94,19,6,0,7.89,4.0
Vitamin D (phsu),AFFECTS,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),3.77e-16,244.87,14,10,0,17.14,7.0
Supplementation (topp),USES,Calcitriol (horm),ISA,Dihydroxycholecalciferols (phsu),2.35e-07,117.82,55,9,0,10.47,5.0
BONE MASS (dsyn),PROCESS_OF,Caucasoid Race (popg),ISA,Racial group (popg),1.01e-07,64.08,6,25,0,7.44,1.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Calcium (bacs),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),1.33e-23,253.82,62,15,0,18.63,8.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Calcium (bacs),PART_OF,Protoplasm (celc),2.44e-06,177.32,62,41,0,68.11,3.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Calcium (bacs),PART_OF,Coronary artery (bpoc),5.91e-07,177.11,62,1,0,1.02,3.0
dihydroxy-vitamin D3 (orch),INTERACTS_WITH,Calcium (bacs),PREDISPOSES,Malignant neoplasm of prostate (neop),2.19e-37,265.33,62,23,0,31.53,10.0
Calcium supplementation (topp),USES,Calcitriol (horm),ISA,Dihydroxycholecalciferols (phsu),3.67e-07,194.72,4,9,0,5.78,5.0
alpha Tocopherol (phsu),ISA,Vitamin E (lipd),PREDISPOSES,Malignant neoplasm of prostate (neop),1.41e-16,75.23,30,20,0,33.33,5.0
Calcium (bacs),PART_OF,Protoplasm (celc),LOCATION_OF,Signal Pathways (celf),1.89e-06,2.65,133,60,0,87.07,2.0
"Diabetes Mellitus, Insulin-Dependent (dsyn)",COEXISTS_WITH,Vitamin D Deficiency (dsyn),PREDISPOSES,Malignant neoplasm of prostate (neop),1.85e-11,277.6,6,10,0,9.6,9.0
Exercise (dora),TREATS,loss; bone (patf),PROCESS_OF,Cancer Patient (humn),7.61e-07,76.12,6,5,0,9.17,1.0
Adipose tissue (tisu),LOCATION_OF,Vitamin D (phsu),ASSOCIATED_WITH,Malignant neoplasm of prostate (neop),2.74e-49,247.94,26,35,0,45.31,2.0
Adipose tissue (tisu),LOCATION_OF,Vitamin D (phsu),TREATS,Malignant neoplasm of prostate (neop),1.36e-44,238.96,26,28,0,50.14,2.0
Entire right thigh (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,Prostate (bpoc),3.04e-16,71.34,14,12,0,22.29,2.0
Entire right thigh (bpoc),LOCATION_OF,Neck (blor),LOCATION_OF,"Preservation, Biological (lbpr)",2.71e-16,48.75,14,63,0,17.11,2.0
